entity,n_with,mean_target_with,enc_with,global_mean_with,n_without,mean_target_without,enc_without,global_mean_without,obs_gained,enc_abs_diff,entity_col
CITY ON A HILL,1,9.392661928770137,9.390079884032609,9.389821679558855,1,9.392661928770137,9.378812621574468,9.377427690854901,0,0.011267262458140692,sire_target_enc
CITY ZIP,6,10.204267863247505,9.695238998442099,9.389821679558855,5,10.204403006899714,9.653086129536506,9.377427690854901,1,0.042152868905592555,sire_target_enc
CITYSCAPE,34,9.072693374221814,9.144767989071141,9.389821679558855,28,9.178421581850255,9.230791610535688,9.377427690854901,6,0.08602362146454645,sire_target_enc
CLODOVIL,78,9.328141217416844,9.335150360842073,9.389821679558855,69,9.313032983136964,9.32118421196202,9.377427690854901,9,0.013966148880053098,sire_target_enc
CLOTH OF STARS,5,9.863553313510314,9.547732224209343,9.389821679558855,5,9.863553313510314,9.539469565073372,9.377427690854901,0,0.008262659135970907,sire_target_enc
CLOUD COMPUTING,1,9.210340371976184,9.37350519705134,9.389821679558855,1,9.210340371976184,9.3622379345932,9.377427690854901,0,0.011267262458140692,sire_target_enc
COACH HOUSE,13,9.224935588618973,9.296625193375444,9.389821679558855,11,9.169238911083808,9.268376425260518,9.377427690854901,2,0.028248768114925937,sire_target_enc
COCKNEY REBEL,19,9.116702453062018,9.210881496681617,9.389821679558855,14,9.088425529279219,9.20884309660242,9.377427690854901,5,0.002038400079197089,sire_target_enc
COMPTON PLACE,72,8.822277459566948,8.891490169322058,9.389821679558855,66,8.81230905259447,8.886666768155052,9.377427690854901,6,0.0048234011670054144,sire_target_enc
CONCERN,1,8.160518247477505,9.278066822096916,9.389821679558855,1,8.160518247477505,9.266799559638775,9.377427690854901,0,0.011267262458140692,sire_target_enc
CONGAREE,1,8.922658299524402,9.347352281373905,9.389821679558855,1,8.922658299524402,9.336085018915766,9.377427690854901,0,0.011267262458138916,sire_target_enc
CONGRATS,1,8.517193191416238,9.310491817000436,9.389821679558855,1,8.517193191416238,9.299224554542295,9.377427690854901,0,0.011267262458140692,sire_target_enc
CONNECT,1,10.203592144986466,9.463800812779546,9.389821679558855,1,10.203592144986466,9.452533550321407,9.377427690854901,0,0.011267262458138916,sire_target_enc
COTAI GLORY,44,9.572378200081275,9.538571437021567,9.389821679558855,39,9.641554928685062,9.58765141076054,9.377427690854901,5,0.04907997373897288,sire_target_enc
COULSTY,18,9.225085111741745,9.283919600247856,9.389821679558855,17,9.115846438969037,9.21272838411195,9.377427690854901,1,0.07119121613590629,sire_target_enc
COUNTRY REEL,3,9.857784481211992,9.497813095324963,9.389821679558855,2,10.783492937992865,9.611771898711227,9.377427690854901,1,0.1139588033862644,sire_target_enc
COZZENE,1,8.45531778769815,9.304866780298791,9.389821679558855,1,8.45531778769815,9.29359951784065,9.377427690854901,0,0.011267262458140692,sire_target_enc
CRACKSMAN,28,9.30770417715414,9.329314046208012,9.389821679558855,23,9.380072634627982,9.379271136514927,9.377427690854901,5,0.049957090306914864,sire_target_enc
CRYSTAL OCEAN,1,9.903487552536127,9.436518577102243,9.389821679558855,1,9.903487552536127,9.425251314644102,9.377427690854901,0,0.011267262458140692,sire_target_enc
CUPID,1,11.225243392518447,9.556678198918819,9.389821679558855,1,11.225243392518447,9.545410936460678,9.377427690854901,0,0.011267262458140692,sire_target_enc
CURLIN,2,8.767580835372481,9.28611487219446,9.389821679558855,2,8.767580835372481,9.275786548274498,9.377427690854901,0,0.010328323919962301,sire_target_enc
CUVEE,1,11.56171562913966,9.587266584066201,9.389821679558855,0,,9.377427690854901,,1,0.2098388932113,sire_target_enc
DAAHER,3,8.503585859909487,9.185305721178231,9.389821679558855,3,8.503585859909487,9.175771883713653,9.377427690854901,0,0.00953383746457881,sire_target_enc
DABIRSIM,24,9.027233964811794,9.133877410325637,9.389821679558855,23,9.00464358899503,9.117608468346505,9.377427690854901,1,0.016268941979131313,sire_target_enc
DAGGERS DRAWN,2,8.536803547992879,9.247651990964526,9.389821679558855,2,8.536803547992879,9.237323667044564,9.377427690854901,0,0.010328323919962301,sire_target_enc
DALAKHANI,56,9.442702605130433,9.434690343680193,9.389821679558855,52,9.455063515909256,9.442541608642426,9.377427690854901,4,0.007851264962232207,sire_target_enc
DANBIRD,2,9.92309790911277,9.478701051151175,9.389821679558855,2,9.92309790911277,9.468372727231213,9.377427690854901,0,0.010328323919962301,sire_target_enc
DANCE BRIGHTLY,1,9.104979856318357,9.363926968355173,9.389821679558855,1,9.104979856318357,9.352659705897032,9.377427690854901,0,0.011267262458140692,sire_target_enc
DANDY MAN,186,9.239168222158673,9.246854623046437,9.389821679558855,166,9.195796790061411,9.206116727606496,9.377427690854901,20,0.040737895439940885,sire_target_enc
